question_text|code,,
I know what my goals are and what I need to do to be successful in my role|ALI.5   ,,
I feel like I can be successful in my role|ALI.5   ,,
30. I know what I need to do to be successful in my role|ALI.5   ,,
I understand my role and what is expected of me|ALI.5   ,,
I know what is expected of me in my role.|ALI.5   ,,
I understand what‰Ûªs expected of me.|ALI.5   ,,
I understand what is expected of me in my role|ALI.5   ,,
25. I know what I need to do to be successful in my role.|ALI.5   ,,
I know what I need to be successful in my role|ALI.5   ,,
I understand what I need to do to be effective in my role|ALI.5   ,,
I know what's expected of me at work|ALI.5   ,,
I know what's expected of me|ALI.5   ,,
I know what I need to do to be successful|ALI.5   ,,
I understand what I need to do to be successful as a Hooli|ALI.5   ,,
I understand what success looks like in my role|ALI.5   ,,
I know what is expected of me to be successful at Pied Piper.|ALI.5   ,,
I know what is expected of me to be successful in my role |ALI.5   ,,
I understand the objectives to be successful in my role.|ALI.5   ,,
I know what I need to do to be brilliant in my role|ALI.5   ,,
I know what development is expected of me in my role.|ALI.5   ,,
I know what is expected of me.|ALI.5   ,,
I know what I need to do to be successful in my role on this project|ALI.5   ,,
I know what I need to do to be successful in my role|ALI.5   ,,
I understand what is expected of me in my role.|ALI.5   ,,
I understand what's expected of me in my role|ALI.5   ,,
I understand what is expected of me in my current role.|ALI.5   ,,
I know what I need to do to be successful in my job|ALI.5   ,,
I understand what I need to do to be successful in my role.|ALI.5   ,,
I know what is expected from me to be successful in my role|ALI.5   ,,
I understand what I need to do to be successful in my role|ALI.5   ,,
I know what I need to do to be Pied Piper in my role|ALI.5   ,,
I know what is expected of me|ALI.5   ,,
I know what is expected of me to be successful in my role|ALI.5   ,,
I know what we need to do to be successful in our work|ALI.5   ,,
7. I know what I need to do to be successful in my role|ALI.5   ,,
I know what's expected of me in my role and how to succeed|ALI.5   ,,
I understand what's expected of me in my role.|ALI.5   ,,
I knew what was expected of me to be successful in my role|ALI.5   ,,
I understand what's expected of me to be successful in my role|ALI.5   ,,
I know what's expected of me in my role.|ALI.5   ,,
My role was what I expected it would be|ALI.5   ,,
I have clarity in what success looks like in my role|ALI.5   ,,
My role is what I expected it to be like|ALI.5   ,,
I know what success looks like in my role|ALI.5   ,,
I know what's expected of me in my role|ALI.5   ,,
I understand what success looks like in my role.|ALI.5   ,,
I know what is expected of me at Pied Piper.|ALI.5   ,,
I know what‰Ûªs expected,,
of me in my role.|ALI.5   ,,
